"LOCATION","Country","VAR","Variable","ISIC4","ISIC4","SRC","Source","SCL","Size Class","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SVN","Slovenia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2018","2018","EUR","Euro","6","Millions",,,0.033,,
"SVN","Slovenia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2019","2019","EUR","Euro","6","Millions",,,0.035,,
"SVN","Slovenia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2020","2020","EUR","Euro","6","Millions",,,0.035,,
"AUT","Austria","VAPE","Labour productivity, national currency","77_82","Administrative and support service activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2005","2005","EUR","Euro","6","Millions",,,0.044,"D","Difference in methodology"
"AUT","Austria","VAPE","Labour productivity, national currency","77_82","Administrative and support service activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2006","2006","EUR","Euro","6","Millions",,,0.043,"D","Difference in methodology"
"AUT","Austria","VAPE","Labour productivity, national currency","77_82","Administrative and support service activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2007","2007","EUR","Euro","6","Millions",,,0.045,"D","Difference in methodology"
"AUT","Austria","VAPE","Labour productivity, national currency","77_82","Administrative and support service activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2008","2008","EUR","Euro","6","Millions",,,0.046,,
"AUT","Austria","VAPE","Labour productivity, national currency","77_82","Administrative and support service activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2009","2009","EUR","Euro","6","Millions",,,0.046,,
"AUT","Austria","VAPE","Labour productivity, national currency","77_82","Administrative and support service activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2010","2010","EUR","Euro","6","Millions",,,0.046,,
"AUT","Austria","VAPE","Labour productivity, national currency","77_82","Administrative and support service activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2011","2011","EUR","Euro","6","Millions",,,0.046,,
"AUT","Austria","VAPE","Labour productivity, national currency","77_82","Administrative and support service activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2012","2012","EUR","Euro","6","Millions",,,0.047,,
